time ,power
168540,10541.764
168570,10824.742
168600,10803.691
168630,10518.996
168660,10461.233
168690,10752.174
168720,10582.61
168750,10759.269
168780,11095.929
168810,10465.019
168840,10528.372
168870,10660.143
168900,10596.389
168930,10679.756
168960,10659.387
168990,10910.319
169020,10554.279
169050,10572.198
169080,10497.604
169110,10638.634
169140,10391.896
169170,10796.624
169200,10671.396
169230,10693.892
169260,10574.679
169290,10453.651
169320,10647.5
169350,12069.361
169380,11913.106
169410,11916.038
169440,11736.433
169470,11942.396
169500,11777.553
169530,11860.357
169560,11832.126
169590,11736.306
169620,11841.01
169650,11900.071
169680,11866.977
169710,12224.114
169740,12179.0045
169770,12133.895
169800,11878.414
169830,11622.933
169860,11580.102
169890,11625.623
169920,11683.354
169950,11985.216
169980,12925.576
170010,11877.366
170040,12101.428
170070,11902.312
170100,11940.834
170130,12234.841
170160,12209.566
170190,11633.176
170220,11652.249
170250,11833.647
170280,11918.724
170310,12109.8
170340,12300.876
170370,11990.124
170400,11906.325
170430,11706.438
170460,11757.4
170490,11757.019
170520,11719.479
170550,11724.961
170580,11741.693
170610,11954.599
170640,11940.441
170670,12685.029
170700,12672.734
170730,12913.247
170760,12769.089
170790,12846.744
170820,12814.091
170850,12926.519
170880,12146.174
170910,12270.816
170940,12379.909
170970,12500.949
171000,10732.364
171030,11354.033
171060,11394.877
171090,11429.994
171120,11518.135
171150,11463.694
171180,11539.002
171210,11872.626
171240,11771.132
171270,11629.478
171300,11714.2285
171330,11798.979
171360,11552.211
171390,10836.9635
171420,10121.716
171450,9524.109
171480,8926.502
171510,8941.0591
171540,8955.6162
171570,8897.6758
171600,9084.4336
171630,8928.626
171660,8402.959
171690,8402.8506
171720,8304.7695
171750,8305.7256
171780,8027.7412
171810,8023.6538
171840,8037.8833
171870,8063.1841
171900,8078.8569
171930,8082.1753
171960,8081.1636
171990,8088.2573
172020,8117.832
172050,8128.2461
172080,8106.6309
172110,8082.6387
172140,8081.2539
172170,8081.1675
172200,8293.1387
172230,8292.959
172260,8296.5713
172290,8351.3799
172320,8374.5068
172350,8383.8301
172380,8531.9277
172410,8528.0713
172440,8511.2188
172470,8490.4756
172500,8603.3906
172530,8596.3154
172560,8604.6885
172590,8607.5918
172620,8591.7598
172650,8576.1729
172680,8564.0303
172710,8576.5625
172740,8554.8057
172770,8544.3916
172800,8596.5889
172830,8593.0059
172860,8593.7871
172890,8602.7656
172920,8591.0439
172950,8584.0469
172980,8583.0273
173010,8598.4023
173040,8513.2188
173070,8363.376
173100,8319.0215
173130,8326.2842
173160,8320.6592
173190,8314.6025
173220,8319.2686
173250,8330.0615
173280,8348.6494
173310,8338.4795
173340,8328.3096
173370,8298.5879
173400,8268.8662
173430,8267.5781
173460,8271.8174
173490,8272.3662
173520,8278.4805
173550,8275.0293
173580,8276.209
173610,8274.75
173640,8289.7539
173670,8249.5732
173700,8248.585
173730,8247.7832
173760,8255.0156
173790,8270.13965
173820,8285.2637
173850,8272.9648
173880,8264.6641
173910,8265.3955
173940,8273.165
173970,8091.2451
174000,8089.7759
174030,8096.3403
174060,8093.7041
174090,8097.001
174120,8131.21
174150,8119.8433
174180,8127.6348
174210,8107.1011
174240,8095.0269
174270,8093.9106
174300,8093.1465
174330,8090.7339
174360,8094.2993
174390,8098.8491
174420,8082.7432
174450,8084.1377
174480,8086.498
174510,9654.7363
174540,9326.8223
174570,9307.9336
174600,9282.9658
174630,9265.1973
174660,9272.2422
174690,9287.915
174720,9306.7021
174750,9308.7549
174780,9400.6465
174810,9441.0693
174840,9464.6348
174870,9472.7842
174900,9483.4297
174930,9492.5
174960,9505.7529
174990,9506.7666
175020,9501.4502
175050,9499.9424
175080,9521.5029
175110,9524.34275
175140,9527.1826
175170,9521.1133
175200,9543.876
175230,9547.5791
175260,9535.123
175290,9522.2988
175320,9528.7363
175350,9522.3896
175380,9533.5791
175410,9546.377
175440,9557.9102
175470,9985.0996
175500,9793.2891
175530,9801.6387
175560,9800.3477
175590,9802.2275
175620,9808.6035
175650,9804.791
175680,9817.4473
175710,9853.0234
175740,9885.9873
175770,9897.2412
175800,9900.0713
175830,9889.624
175860,9895.5967
175890,9883.4961
175920,9878.166
175950,9885.542
175980,9890.9375
176010,9903.4707
176040,9911.5215
176070,9911.5508
176100,9906.2891
176130,9893.7256
176160,9896.9404
176190,9895.4258
176220,9903.2256
176250,9912.8594
176280,9920.0684
176310,9904.9014
176340,9902.3926
176370,9906.7939
176400,9903.5098
176430,8415.3691
176460,8427.6006
176490,8430.1387
176520,8432.0215
176550,8416.5127
176580,8245.8428
176610,8219.7422
176640,8225.2295
176670,8228.1177
176700,8231.0059
176730,8213.4473
176760,8212.4961
176790,8471.748
176820,7631.6196
176850,7622.1431
176880,8003.7856
176910,7649.2324
176940,7654.95265
176970,7660.6729
177000,7669.4648
177030,7669.9814
177060,7290.0444
177090,7295.2275
177120,7304.6685
177150,7218.1304
177180,7200.7354
177210,7188.3052
177240,7166.5991
177270,7103.3745
177300,7082.9302
177330,6916.6123
177360,6902.8496
177390,6902.8276
177420,6875.9585
177450,6861.1113
177480,6826.939
177510,6661.3047
177540,6673.7622
177570,6674.34205
177600,6674.9219
177630,6692.3477
177660,6720.2554
177690,6722.4897
177720,6718.2954
177750,6715.2632
177780,6715.9175
177810,6717.7046
177840,6718.4712
177870,6725.5459
177900,6728.1328
177930,6725.0938
177960,6704.5264
177990,6695.7163
178020,6690.1792
178050,6690.0654
178080,6678.6563
178110,6720.6196
178140,6728.8481
178170,6727.2036
178200,6723.2988
178230,6729.4521
178260,6725.6533
178290,6741.79
178320,6740.7026
178350,6742.1147
178380,6737.9082
178410,6740.0254
178440,6748.7334
178470,6743.5811
178500,6743.5771
178530,6751.208
178560,6786.2173
178590,6788.5063
178620,6771.7974
178650,6773.79935
178680,6775.8013
178710,6764.4053
178740,6754.4961
178770,6724.4619
178800,6711.8677
178830,6710.3413
178860,6740.6167
178890,6755.1323
178920,6758.7412
178950,6759.4082
178980,6762.0078
179010,6758.5146
179040,6757.5166
179070,6753.8237
179100,6746.3945
179130,6723.3662
179160,6717.3032
179190,6728.1475
179220,6723.9951
179250,6765.4766
179280,6777.7705
179310,6708.3823
179340,6705.0825
179370,6715.6201
179400,6714.6753
179430,6727.2456
179460,6720.5415
179490,6716.0352
179520,6714.8701
179550,6706.4932
179580,6722.8677
179610,6736.2959
179640,6730.3096
179670,6731.87695
179700,6733.4443
179730,6731.0903
179760,6706.2842
179790,6685.2627
179820,6672.375
179850,6643.8442
179880,6636.6284
179910,8361.5742
179940,8089.9121
179970,8047.2241
180000,7993.3213
180030,8003.7588
180060,7982.1592
180090,7985.7944
180120,7995.9907
180150,8017.1675
180180,8028.7295
180210,8033.96
180240,8042.9824
180270,8066.7603
180300,8057.0532
180330,8065.8296
180360,8082.7441
180390,8096.0664
180420,8099.2405
180450,8102.4146
180480,8115.0415
180510,8120.0149
180540,8124.9883
180570,8128.9858
180600,8134.6021
180630,8137.1821
180660,8155.5386
180690,8175.2314
180720,8189.0718
180750,8191.7798
180780,8200.6426
180810,8173.7939
180840,8165.7236
180870,8149.1899
180900,8130.8667
180930,8135.5962
180960,8129.3276
180990,8137.5073
181020,8136.8228
181050,8195.0156
181080,8211.0508
181110,8215.5469
181140,8205.5156
181170,8202.2363
181200,8198.7207
181230,8195.2051
181260,8229.1504
181290,8246.4355
181320,8255.3066
181350,8228.5459
181380,8217.0664
181410,8218.5801
181440,8196.0791
181470,8169.1099
181500,7998.0737
181530,7999.8301
181560,8001.646
181590,8000.749
181620,8003.5986
181650,8010.3979
181680,8019.7651
181710,8020.0659
181740,8065.1187
181770,8061.2354
181800,8071.7334
181830,8021.9409
181860,8013.7769
181890,8051.3062
181920,8066.9033
181950,8073.0898
181980,8083.8687
182010,8084.7388
182040,8086.3921
182070,6661.71
182100,6652.7271
182130,6651.2676
